#_Bundle,#_Iteration,#_Agents,#_Attackers,Linar_Speed,Field_Len,Pzone_Len,Sim_Time,defense_time,Result
8,13,15,15,1,100,20,60,49.9,1
8,14,15,15,1,100,20,60,43.2,0
8,15,15,15,1,100,20,60,47.9,0
8,16,15,15,1,100,20,60,44.8,0
8,17,15,15,1,100,20,60,48.7,0
8,18,15,15,1,100,20,60,60,2
8,19,15,15,1,100,20,60,49.4,0
8,20,15,15,1,100,20,60,45.2,0
8,21,15,15,1,100,20,60,43.4,0
8,22,15,15,1,100,20,60,42.9,0
8,23,15,15,1,100,20,60,53.9,0
8,24,15,15,1,100,20,60,42.5,0
8,25,15,15,1,100,20,60,57.6,1
9,1,25,25,1,100,20,60,45.6,0
9,2,25,25,1,100,20,60,58,1
9,3,25,25,1,100,20,60,53.6,0
9,4,25,25,1,100,20,60,45.6,0
9,5,25,25,1,100,20,60,56.6,1
9,6,25,25,1,100,20,60,53,1
9,7,25,25,1,100,20,60,48.6,0
9,8,25,25,1,100,20,60,60,2
9,9,25,25,1,100,20,60,51.2,0
9,10,25,25,1,100,20,60,45.3,0
9,11,25,25,1,100,20,60,48.4,0
9,12,25,25,1,100,20,60,42.8,0
9,13,25,25,1,100,20,60,48.1,0
9,14,25,25,1,100,20,60,48,0
9,15,25,25,1,100,20,60,51.1,1
9,16,25,25,1,100,20,60,55,1
9,17,25,25,1,100,20,60,45.5,0
9,18,25,25,1,100,20,60,45.6,0
9,19,25,25,1,100,20,60,59,1
9,20,25,25,1,100,20,60,55.8,1
9,21,25,25,1,100,20,60,58.2,1
9,22,25,25,1,100,20,60,42.1,0
9,23,25,25,1,100,20,60,52.9,1
9,24,25,25,1,100,20,60,46.9,0
9,25,25,25,1,100,20,60,55.5,1
10,1,35,35,1,100,20,60,46.5,1
10,2,35,35,1,100,20,60,60,2
10,3,35,35,1,100,20,60,55,1
10,4,35,35,1,100,20,60,49.9,1
10,5,35,35,1,100,20,60,48.9,1
10,6,35,35,1,100,20,60,60,2
10,7,35,35,1,100,20,60,41.7,1
10,8,35,35,1,100,20,60,50.7,0
10,9,35,35,1,100,20,60,41.7,0
10,10,35,35,1,100,20,60,55.5,1
10,11,35,35,1,100,20,60,59.4,1
10,12,35,35,1,100,20,60,51.3,1
10,13,35,35,1,100,20,60,45.7,1
10,14,35,35,1,100,20,60,55.8,1
10,15,35,35,1,100,20,60,42.7,0
10,16,35,35,1,100,20,60,49.6,1
10,17,35,35,1,100,20,60,45.8,1
10,18,35,35,1,100,20,60,50.8,1
10,19,35,35,1,100,20,60,54.6,1
10,20,35,35,1,100,20,60,53.1,0
10,21,35,35,1,100,20,60,50,0
10,22,35,35,1,100,20,60,50,1
10,23,35,35,1,100,20,60,52.6,1
10,24,35,35,1,100,20,60,51.8,1
10,25,35,35,1,100,20,60,46.1,1
11,1,45,45,1,100,20,60,47.6,0
11,2,45,45,1,100,20,60,51,0
11,3,45,45,1,100,20,60,46.6,1
11,4,45,45,1,100,20,60,51.6,1
11,5,45,45,1,100,20,60,52.1,1
11,6,45,45,1,100,20,60,44.6,1
11,7,45,45,1,100,20,60,51.6,1
11,8,45,45,1,100,20,60,42.9,1
11,9,45,45,1,100,20,60,47.5,1
11,10,45,45,1,100,20,60,48.5,1
11,11,45,45,1,100,20,60,45.1,1
11,12,45,45,1,100,20,60,51.1,1
11,13,45,45,1,100,20,60,47.4,1
11,14,45,45,1,100,20,60,49.3,1
11,15,45,45,1,100,20,60,53.4,1
11,16,45,45,1,100,20,60,42.8,1
11,17,45,45,1,100,20,60,44.2,1
11,18,45,45,1,100,20,60,48.9,1
11,19,45,45,1,100,20,60,44.4,1
11,20,45,45,1,100,20,60,46.6,1
11,21,45,45,1,100,20,60,42.6,1
11,22,45,45,1,100,20,60,44.5,1
11,23,45,45,1,100,20,60,50.6,1
11,24,45,45,1,100,20,60,48.4,1
11,25,45,45,1,100,20,60,45.5,1
12,1,55,55,1,100,20,60,40,1
12,2,55,55,1,100,20,60,54.2,1
12,3,55,55,1,100,20,60,47.4,1
12,4,55,55,1,100,20,60,47.3,1
12,5,55,55,1,100,20,60,54,1
12,6,55,55,1,100,20,60,49.5,1
12,7,55,55,1,100,20,60,46.6,1
12,8,55,55,1,100,20,60,45.3,1
12,9,55,55,1,100,20,60,46,1
12,10,55,55,1,100,20,60,44.7,1
12,11,55,55,1,100,20,60,42.9,1
12,12,55,55,1,100,20,60,41.9,1
12,13,55,55,1,100,20,60,56.6,1
12,14,55,55,1,100,20,60,43.6,1
12,15,55,55,1,100,20,60,45.5,1
12,16,55,55,1,100,20,60,43.5,1
12,17,55,55,1,100,20,60,41.7,1
12,18,55,55,1,100,20,60,47.9,1
12,19,55,55,1,100,20,60,45.2,1
12,20,55,55,1,100,20,60,52.5,1
12,21,55,55,1,100,20,60,47.8,1
12,22,55,55,1,100,20,60,42.8,1
12,23,55,55,1,100,20,60,42.9,1
12,24,55,55,1,100,20,60,48.5,1
12,25,55,55,1,100,20,60,42,1
13,1,5,5,1,150,30,60,60,2
13,2,5,5,1,150,30,60,60,2
13,3,5,5,1,150,30,60,60,2
13,4,5,5,1,150,30,60,60,2
13,5,5,5,1,150,30,60,60,2
13,6,5,5,1,150,30,60,60,2
13,7,5,5,1,150,30,60,60,2
13,8,5,5,1,150,30,60,60,2
13,9,5,5,1,150,30,60,60,2
13,10,5,5,1,150,30,60,60,2
13,11,5,5,1,150,30,60,60,2
13,12,5,5,1,150,30,60,60,2
13,13,5,5,1,150,30,60,60,2
13,14,5,5,1,150,30,60,60,2
13,15,5,5,1,150,30,60,60,2
13,16,5,5,1,150,30,60,60,2
13,17,5,5,1,150,30,60,60,2
13,18,5,5,1,150,30,60,60,2
13,19,5,5,1,150,30,60,60,2
13,20,5,5,1,150,30,60,60,2
13,21,5,5,1,150,30,60,60,2
13,22,5,5,1,150,30,60,60,2
13,23,5,5,1,150,30,60,60,2
13,24,5,5,1,150,30,60,60,2
13,25,5,5,1,150,30,60,60,2
14,1,15,15,1,150,30,60,60,2
14,2,15,15,1,150,30,60,60,2
14,3,15,15,1,150,30,60,60,2
14,4,15,15,1,150,30,60,60,2
14,5,15,15,1,150,30,60,60,2
14,6,15,15,1,150,30,60,60,2
14,7,15,15,1,150,30,60,60,2
14,8,15,15,1,150,30,60,60,2
14,9,15,15,1,150,30,60,60,2
14,10,15,15,1,150,30,60,60,2
14,11,15,15,1,150,30,60,60,2
14,12,15,15,1,150,30,60,60,2
14,13,15,15,1,150,30,60,60,2
14,14,15,15,1,150,30,60,60,2
14,15,15,15,1,150,30,60,60,2
14,16,15,15,1,150,30,60,60,2
14,17,15,15,1,150,30,60,60,2
14,18,15,15,1,150,30,60,60,2
14,19,15,15,1,150,30,60,60,2
14,20,15,15,1,150,30,60,60,2
14,21,15,15,1,150,30,60,60,2
14,22,15,15,1,150,30,60,60,2
14,23,15,15,1,150,30,60,60,2
14,24,15,15,1,150,30,60,60,2
14,25,15,15,1,150,30,60,60,2
15,1,25,25,1,150,30,60,60,2
15,2,25,25,1,150,30,60,60,2
15,3,25,25,1,150,30,60,60,2
15,4,25,25,1,150,30,60,60,2
15,5,25,25,1,150,30,60,60,2
15,6,25,25,1,150,30,60,60,2
15,7,25,25,1,150,30,60,60,2
15,8,25,25,1,150,30,60,60,2
15,9,25,25,1,150,30,60,60,2
15,10,25,25,1,150,30,60,60,2
15,11,25,25,1,150,30,60,60,2
15,12,25,25,1,150,30,60,60,2
15,13,25,25,1,150,30,60,60,2
15,14,25,25,1,150,30,60,60,2
15,15,25,25,1,150,30,60,60,2
15,16,25,25,1,150,30,60,60,2
15,17,25,25,1,150,30,60,60,2
15,18,25,25,1,150,30,60,60,2
15,19,25,25,1,150,30,60,60,2
15,20,25,25,1,150,30,60,60,2
15,21,25,25,1,150,30,60,60,2
15,22,25,25,1,150,30,60,60,2
15,23,25,25,1,150,30,60,60,2
15,24,25,25,1,150,30,60,60,2
15,25,25,25,1,150,30,60,60,2
16,1,35,35,1,150,30,60,60,2
16,2,35,35,1,150,30,60,60,2
16,3,35,35,1,150,30,60,60,2
16,4,35,35,1,150,30,60,60,2
16,5,35,35,1,150,30,60,60,2
16,6,35,35,1,150,30,60,60,2
16,7,35,35,1,150,30,60,60,2
16,8,35,35,1,150,30,60,60,2
16,9,35,35,1,150,30,60,60,2
16,10,35,35,1,150,30,60,60,2
16,11,35,35,1,150,30,60,60,2
16,12,35,35,1,150,30,60,60,2
16,13,35,35,1,150,30,60,60,2
16,14,35,35,1,150,30,60,60,2
16,15,35,35,1,150,30,60,60,2
16,16,35,35,1,150,30,60,60,2
16,17,35,35,1,150,30,60,60,2
16,18,35,35,1,150,30,60,60,2
16,19,35,35,1,150,30,60,60,2
16,20,35,35,1,150,30,60,60,2
16,21,35,35,1,150,30,60,60,2
16,22,35,35,1,150,30,60,60,2
16,23,35,35,1,150,30,60,60,2
16,24,35,35,1,150,30,60,60,2
16,25,35,35,1,150,30,60,60,2
17,1,45,45,1,150,30,60,60,2
17,2,45,45,1,150,30,60,60,2
17,3,45,45,1,150,30,60,60,2
17,4,45,45,1,150,30,60,60,2
17,5,45,45,1,150,30,60,60,2
17,6,45,45,1,150,30,60,60,2
17,7,45,45,1,150,30,60,60,2
17,8,45,45,1,150,30,60,60,2
17,9,45,45,1,150,30,60,60,2
17,10,45,45,1,150,30,60,60,2
17,11,45,45,1,150,30,60,60,2
17,12,45,45,1,150,30,60,60,2
17,13,45,45,1,150,30,60,60,2
