#_Bundle,#_Iteration,#_Agents,#_Attackers,Linar_Speed,Field_Len,Pzone_Len,Sim_Time,defense_time,Result
3,11,30,40,0.5,100,20,300,41,0
3,12,30,40,0.5,100,20,300,47.8,0
3,13,30,40,0.5,100,20,300,46.5,0
3,14,30,40,0.5,100,20,300,42.3,0
3,15,30,40,0.5,100,20,300,44.8,0
3,16,30,40,0.5,100,20,300,44.8,0
3,17,30,40,0.5,100,20,300,49.1,0
3,18,30,40,0.5,100,20,300,40.7,0
3,19,30,40,0.5,100,20,300,43.3,0
3,20,30,40,0.5,100,20,300,40.5,0
3,21,30,40,0.5,100,20,300,42.6,0
3,22,30,40,0.5,100,20,300,43.1,0
3,23,30,40,0.5,100,20,300,42.3,0
3,24,30,40,0.5,100,20,300,41.3,0
3,25,30,40,0.5,100,20,300,44.2,0
4,1,40,40,0.5,100,20,300,40.5,0
4,2,40,40,0.5,100,20,300,43.3,0
4,3,40,40,0.5,100,20,300,41.4,0
4,4,40,40,0.5,100,20,300,50.2,0
4,5,40,40,0.5,100,20,300,41.2,0
4,6,40,40,0.5,100,20,300,48.3,0
4,7,40,40,0.5,100,20,300,49.2,0
4,8,40,40,0.5,100,20,300,48.8,0
4,9,40,40,0.5,100,20,300,51.4,0
4,10,40,40,0.5,100,20,300,40,0
4,11,40,40,0.5,100,20,300,55.4,1
4,12,40,40,0.5,100,20,300,45.1,0
4,13,40,40,0.5,100,20,300,43.8,0
4,14,40,40,0.5,100,20,300,56.3,1
4,15,40,40,0.5,100,20,300,46.3,0
4,16,40,40,0.5,100,20,300,41.7,0
4,17,40,40,0.5,100,20,300,49,0
4,18,40,40,0.5,100,20,300,53.3,0
4,19,40,40,0.5,100,20,300,43.2,0
4,20,40,40,0.5,100,20,300,52.7,0
4,21,40,40,0.5,100,20,300,45.7,0
4,22,40,40,0.5,100,20,300,40,0
4,23,40,40,0.5,100,20,300,47.1,0
4,24,40,40,0.5,100,20,300,58,1
4,25,40,40,0.5,100,20,300,40.7,0
5,1,50,40,0.5,100,20,300,42.7,0
5,2,50,40,0.5,100,20,300,41.2,0
5,3,50,40,0.5,100,20,300,46.8,0
5,4,50,40,0.5,100,20,300,46.6,0
5,5,50,40,0.5,100,20,300,52.2,0
5,6,50,40,0.5,100,20,300,45.5,0
5,7,50,40,0.5,100,20,300,47.7,0
5,8,50,40,0.5,100,20,300,51.5,1
5,9,50,40,0.5,100,20,300,52.6,1
5,10,50,40,0.5,100,20,300,40.6,0
5,11,50,40,0.5,100,20,300,52.7,0
5,12,50,40,0.5,100,20,300,55.3,1
5,13,50,40,0.5,100,20,300,45.9,0
5,14,50,40,0.5,100,20,300,49.8,0
5,15,50,40,0.5,100,20,300,42.7,0
5,16,50,40,0.5,100,20,300,47.2,0
5,17,50,40,0.5,100,20,300,57.6,1
5,18,50,40,0.5,100,20,300,44.6,0
5,19,50,40,0.5,100,20,300,50.1,0
5,20,50,40,0.5,100,20,300,57.6,1
5,21,50,40,0.5,100,20,300,59.3,1
5,22,50,40,0.5,100,20,300,56.5,1
5,23,50,40,0.5,100,20,300,43.3,0
5,24,50,40,0.5,100,20,300,71.1,1
5,25,50,40,0.5,100,20,300,46.1,0
6,1,60,40,0.5,100,20,300,56,1
6,2,60,40,0.5,100,20,300,54.5,1
6,3,60,40,0.5,100,20,300,48.1,0
6,4,60,40,0.5,100,20,300,49.7,0
6,5,60,40,0.5,100,20,300,56.8,1
6,6,60,40,0.5,100,20,300,46.8,0
