#_Bundle,#_Iteration,#_Agents,#_Attackers,Linar_Speed,Field_Len,Pzone_Len,Sim_Time,defense_time,Result
11,9,45,45,1,50,10,300,29.5,1
11,10,45,45,1,50,10,300,26.1,1
11,11,45,45,1,50,10,300,29.5,1
11,12,45,45,1,50,10,300,24.7,1
11,13,45,45,1,50,10,300,22.4,1
11,14,45,45,1,50,10,300,26.3,1
11,15,45,45,1,50,10,300,29.7,1
11,16,45,45,1,50,10,300,24.7,1
11,17,45,45,1,50,10,300,25.5,1
11,18,45,45,1,50,10,300,24.1,1
11,19,45,45,1,50,10,300,25,1
11,20,45,45,1,50,10,300,25,1
11,21,45,45,1,50,10,300,25.4,1
11,22,45,45,1,50,10,300,28.6,1
11,23,45,45,1,50,10,300,25.2,1
11,24,45,45,1,50,10,300,24.3,1
11,25,45,45,1,50,10,300,25.6,1
12,1,55,55,1,50,10,300,24.6,1
12,2,55,55,1,50,10,300,21.3,1
12,3,55,55,1,50,10,300,29.3,1
12,4,55,55,1,50,10,300,24.3,1
12,5,55,55,1,50,10,300,28.1,1
12,6,55,55,1,50,10,300,25.8,1
12,7,55,55,1,50,10,300,25.3,1
12,8,55,55,1,50,10,300,22.7,1
12,9,55,55,1,50,10,300,25,1
12,10,55,55,1,50,10,300,23.8,1
12,11,55,55,1,50,10,300,26.3,1
12,12,55,55,1,50,10,300,27.2,1
12,13,55,55,1,50,10,300,29.5,1
12,14,55,55,1,50,10,300,23,1
12,15,55,55,1,50,10,300,25.9,1
12,16,55,55,1,50,10,300,26.1,1
12,17,55,55,1,50,10,300,24.6,1
12,18,55,55,1,50,10,300,25,1
12,19,55,55,1,50,10,300,22.6,1
12,20,55,55,1,50,10,300,25.6,1
12,21,55,55,1,50,10,300,24.3,1
12,22,55,55,1,50,10,300,25,1
12,23,55,55,1,50,10,300,22.6,1
12,24,55,55,1,50,10,300,26.3,1
12,25,55,55,1,50,10,300,26.6,1
13,1,5,5,1,80,16,300,39.9,0
13,2,5,5,1,80,16,300,33.9,0
13,3,5,5,1,80,16,300,40.9,0
13,4,5,5,1,80,16,300,34.1,0
13,5,5,5,1,80,16,300,55,0
13,6,5,5,1,80,16,300,34.7,0
13,7,5,5,1,80,16,300,34,0
13,8,5,5,1,80,16,300,37,0
13,9,5,5,1,80,16,300,34.2,0
13,10,5,5,1,80,16,300,36.9,0
13,11,5,5,1,80,16,300,41.8,0
13,12,5,5,1,80,16,300,49.7,0
13,13,5,5,1,80,16,300,34,0
13,14,5,5,1,80,16,300,38,0
13,15,5,5,1,80,16,300,37.9,0
13,16,5,5,1,80,16,300,40.5,0
13,17,5,5,1,80,16,300,49.9,0
13,18,5,5,1,80,16,300,33,0
13,19,5,5,1,80,16,300,34.7,0
13,20,5,5,1,80,16,300,45.8,0
13,21,5,5,1,80,16,300,43.2,0
13,22,5,5,1,80,16,300,41.8,0
13,23,5,5,1,80,16,300,32.1,0
13,24,5,5,1,80,16,300,33.2,0
13,25,5,5,1,80,16,300,37.6,0
14,1,15,15,1,80,16,300,35.6,1
14,2,15,15,1,80,16,300,57.1,1
14,3,15,15,1,80,16,300,36.6,0
14,4,15,15,1,80,16,300,41.3,0
14,5,15,15,1,80,16,300,48.5,1
14,6,15,15,1,80,16,300,38.5,0
14,7,15,15,1,80,16,300,42.2,0
14,8,15,15,1,80,16,300,38.7,0
14,9,15,15,1,80,16,300,39.6,0
14,10,15,15,1,80,16,300,43.2,0
14,11,15,15,1,80,16,300,39.4,0
14,12,15,15,1,80,16,300,37.9,0
14,13,15,15,1,80,16,300,34,0
14,14,15,15,1,80,16,300,38.9,0
14,15,15,15,1,80,16,300,37.6,0
14,16,15,15,1,80,16,300,58.7,1
14,17,15,15,1,80,16,300,33,0
14,18,15,15,1,80,16,300,35.9,0
14,19,15,15,1,80,16,300,47.2,0
14,20,15,15,1,80,16,300,40.4,0
14,21,15,15,1,80,16,300,43.3,0
14,22,15,15,1,80,16,300,43.2,0
14,23,15,15,1,80,16,300,40,0
14,24,15,15,1,80,16,300,50.7,0
14,25,15,15,1,80,16,300,54.4,1
15,1,25,25,1,80,16,300,40.6,1
15,2,25,25,1,80,16,300,37.9,1
15,3,25,25,1,80,16,300,45.8,1
15,4,25,25,1,80,16,300,41.4,1
15,5,25,25,1,80,16,300,39.1,0
15,6,25,25,1,80,16,300,37.1,1
15,7,25,25,1,80,16,300,36.9,1
15,8,25,25,1,80,16,300,34.9,0
15,9,25,25,1,80,16,300,44.6,1
15,10,25,25,1,80,16,300,38.9,0
15,11,25,25,1,80,16,300,45.1,1
15,12,25,25,1,80,16,300,45.3,1
15,13,25,25,1,80,16,300,39.6,0
15,14,25,25,1,80,16,300,43.8,1
15,15,25,25,1,80,16,300,46.9,1
15,16,25,25,1,80,16,300,47.3,1
15,17,25,25,1,80,16,300,41.6,1
